2025/10/02 13:11:54 INFO starting import of ./test_data.csv
2025/10/02 13:11:54 INFO Import successful
2025/10/02 13:11:54 INFO starting import of ./test_data.csv
2025/10/02 13:11:54 INFO Import successful
2025/10/02 13:11:54 INFO starting import of 
goos: linux
goarch: amd64
pkg: importer/customerimporter
cpu: AMD Ryzen 5 5600H with Radeon Graphics         
BenchmarkImportDomainData-12    	     560	   2130058 ns/op	 1476775 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     554	   2135516 ns/op	 1476773 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     562	   2154093 ns/op	 1476771 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     556	   2147542 ns/op	 1476763 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     565	   2145079 ns/op	 1476772 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     558	   2135922 ns/op	 1476788 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     556	   2144926 ns/op	 1476769 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     560	   2155762 ns/op	 1476780 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     560	   2150241 ns/op	 1476773 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     556	   2145298 ns/op	 1476776 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     541	   2143210 ns/op	 1476773 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     562	   2142682 ns/op	 1476768 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     550	   2140366 ns/op	 1476773 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     562	   2159652 ns/op	 1476774 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     556	   2143308 ns/op	 1476768 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     560	   2144883 ns/op	 1476783 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     550	   2145576 ns/op	 1476780 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     556	   2147679 ns/op	 1476775 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     556	   2142512 ns/op	 1476779 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     555	   2141908 ns/op	 1476771 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     559	   2141069 ns/op	 1476775 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     552	   2162425 ns/op	 1476775 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     553	   2138033 ns/op	 1476772 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     562	   2140909 ns/op	 1476777 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     561	   2156906 ns/op	 1476770 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     555	   2151783 ns/op	 1476779 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     553	   2151904 ns/op	 1476775 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     554	   2146241 ns/op	 1476773 B/op	   20539 allocs/op
