2025/10/02 14:13:25 INFO starting import of ./test_data.csv
2025/10/02 14:13:25 INFO Import successful
2025/10/02 14:13:25 INFO starting import of ./test_data.csv
2025/10/02 14:13:25 INFO Import successful
2025/10/02 14:13:25 INFO starting import of 
goos: linux
goarch: amd64
pkg: importer/customerimporter
cpu: AMD Ryzen 5 5600H with Radeon Graphics         
BenchmarkImportDomainData-12    	     384	   3082269 ns/op	 1465001 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     382	   3066976 ns/op	 1465017 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     386	   3090118 ns/op	 1465028 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     380	   3091040 ns/op	 1465019 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     393	   3101390 ns/op	 1465018 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     382	   3088971 ns/op	 1465014 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     390	   3076661 ns/op	 1465006 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     391	   3075649 ns/op	 1465004 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     392	   2933547 ns/op	 1465005 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     468	   2264830 ns/op	 1465009 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     536	   2233099 ns/op	 1465016 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     538	   2252419 ns/op	 1465007 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     531	   2253087 ns/op	 1465011 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     526	   2252399 ns/op	 1465009 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     528	   2270550 ns/op	 1465015 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     530	   2244065 ns/op	 1465017 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     530	   2254312 ns/op	 1465013 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     532	   2287955 ns/op	 1465024 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     538	   2250673 ns/op	 1465014 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     520	   2213639 ns/op	 1465023 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     536	   2277901 ns/op	 1465011 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     535	   2269283 ns/op	 1465011 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     536	   2260032 ns/op	 1465007 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     522	   2234211 ns/op	 1465016 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     535	   2284775 ns/op	 1465013 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     541	   2238529 ns/op	 1465018 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     535	   2244802 ns/op	 1465015 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     518	   2288807 ns/op	 1465006 B/op	   20038 allocs/op
